/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1829.3030106877234, 'AlphaViD_Large': 1569.58886282473, 'AlphaVDA_Large': 1366.7076508122195, 'AlphaViT_Small': 1919.558914757946, 'AlphaViD_Small': 1799.4738231143233, 'AlphaVDA_Small': 1814.7592414455353, 'AlphaViT_Multi': 1107.7314312344126, 'AlphaViD_Multi': 1336.567271935325, 'AlphaVDA_Multi': 1032.7876278610506, 'AlphaZero': 1985.6072744598857, 'Minimax': 1356.6402813249206, 'MCTS100': 1409.0195514397378, 'MCTS400': 1549.7177330520053, 'random': 922.5373250501806}

{'AlphaViT_Large': 1828.150457272386, 'AlphaViD_Large': 1558.7380292091023, 'AlphaVDA_Large': 1368.4081032767342, 'AlphaViT_Small': 1935.7382629258568, 'AlphaViD_Small': 1787.7518760183284, 'AlphaVDA_Small': 1823.1207484801284, 'AlphaViT_Multi': 1118.4734743897718, 'AlphaViD_Multi': 1331.5839845972412, 'AlphaVDA_Multi': 1037.5388592196225, 'AlphaZero': 1985.3832440714054, 'Minimax': 1337.374830949425, 'MCTS100': 1400.197502865862, 'MCTS400': 1564.5396190184244, 'random': 923.0010077057073}

{'AlphaViT_Large': 1835.0559508973215, 'AlphaViD_Large': 1549.6304919962881, 'AlphaVDA_Large': 1379.947124211915, 'AlphaViT_Small': 1946.2176448419584, 'AlphaViD_Small': 1777.528216029203, 'AlphaVDA_Small': 1830.8775358594019, 'AlphaViT_Multi': 1119.6693062022948, 'AlphaViD_Multi': 1308.4168624400295, 'AlphaVDA_Multi': 1042.1655261537771, 'AlphaZero': 1993.3641307373873, 'Minimax': 1335.8395368644653, 'MCTS100': 1389.2175838824992, 'MCTS400': 1576.5386275984185, 'random': 915.5314622850358}

{'AlphaViT_Large': 1826.7107320826992, 'AlphaViD_Large': 1557.4289220054986, 'AlphaVDA_Large': 1369.8499387180168, 'AlphaViT_Small': 1952.1105251704419, 'AlphaViD_Small': 1784.5988422575167, 'AlphaVDA_Small': 1828.575275864797, 'AlphaViT_Multi': 1117.2779090809702, 'AlphaViD_Multi': 1307.8707871151603, 'AlphaVDA_Multi': 1029.8800233967393, 'AlphaZero': 1993.6157321398216, 'Minimax': 1368.079559709043, 'MCTS100': 1364.8674777727044, 'MCTS400': 1578.8088401338237, 'random': 920.3254345527633}

{'AlphaViT_Large': 1830.7650232880865, 'AlphaViD_Large': 1567.6386001739265, 'AlphaVDA_Large': 1373.265781499341, 'AlphaViT_Small': 1956.7026924618592, 'AlphaViD_Small': 1783.1422169131959, 'AlphaVDA_Small': 1828.312652948004, 'AlphaViT_Multi': 1110.6838742918367, 'AlphaViD_Multi': 1311.075992770004, 'AlphaVDA_Multi': 1011.0829594265623, 'AlphaZero': 2001.4879246902951, 'Minimax': 1376.383831303206, 'MCTS100': 1359.694830926065, 'MCTS400': 1568.8495689425756, 'random': 920.9140503650366}

{'AlphaViT_Large': 1821.9057980786442, 'AlphaViD_Large': 1581.2850058289866, 'AlphaVDA_Large': 1354.1517339814534, 'AlphaViT_Small': 1965.2656984847802, 'AlphaViD_Small': 1785.875335020833, 'AlphaVDA_Small': 1812.8574392281514, 'AlphaViT_Multi': 1112.0519613501306, 'AlphaViD_Multi': 1321.5655347675897, 'AlphaVDA_Multi': 1001.7469937729068, 'AlphaZero': 2001.001861501903, 'Minimax': 1383.3115781233514, 'MCTS100': 1372.994375062828, 'MCTS400': 1580.4206661377257, 'random': 905.5660186607103}

{'AlphaViT_Large': 1822.8659353728224, 'AlphaViD_Large': 1567.5762879154793, 'AlphaVDA_Large': 1344.0676754214185, 'AlphaViT_Small': 1976.6541976829135, 'AlphaViD_Small': 1784.123498201129, 'AlphaVDA_Small': 1816.257441472605, 'AlphaViT_Multi': 1120.4179411943114, 'AlphaViD_Multi': 1321.697342140661, 'AlphaVDA_Multi': 1008.8340490573704, 'AlphaZero': 2007.7366296041553, 'Minimax': 1373.7998244551043, 'MCTS100': 1380.2068968670865, 'MCTS400': 1569.1400886795227, 'random': 906.6221919354153}

{'AlphaViT_Large': 1818.9850179369757, 'AlphaViD_Large': 1538.3545438325486, 'AlphaVDA_Large': 1357.497519898118, 'AlphaViT_Small': 1968.510710077176, 'AlphaViD_Small': 1797.636416589205, 'AlphaVDA_Small': 1833.5579127063227, 'AlphaViT_Multi': 1121.199958353987, 'AlphaViD_Multi': 1321.7052715896414, 'AlphaVDA_Multi': 1007.5803215865545, 'AlphaZero': 2014.3196335973932, 'Minimax': 1366.1949878523299, 'MCTS100': 1401.0506766451033, 'MCTS400': 1557.667601243578, 'random': 895.7394280910606}

{'AlphaViT_Large': 1812.3980180727776, 'AlphaViD_Large': 1561.9757045522165, 'AlphaVDA_Large': 1344.6698991037435, 'AlphaViT_Small': 1980.4036789380264, 'AlphaViD_Small': 1794.6045635151888, 'AlphaVDA_Small': 1848.5081545727637, 'AlphaViT_Multi': 1121.0546776585172, 'AlphaViD_Multi': 1314.5693142548196, 'AlphaVDA_Multi': 998.1219924991386, 'AlphaZero': 2020.5600839255644, 'Minimax': 1348.586246894917, 'MCTS100': 1399.5184763297127, 'MCTS400': 1557.2763357251968, 'random': 897.7528539574117}

{'AlphaViT_Large': 1816.034094861776, 'AlphaViD_Large': 1585.3203874299345, 'AlphaVDA_Large': 1333.8958068737497, 'AlphaViT_Small': 1975.656904246048, 'AlphaViD_Small': 1801.3602452450198, 'AlphaVDA_Small': 1839.046267066139, 'AlphaViT_Multi': 1098.0865442129716, 'AlphaViD_Multi': 1307.6947782326652, 'AlphaVDA_Multi': 1004.9817128192007, 'AlphaZero': 2021.8805089867558, 'Minimax': 1336.5950125266786, 'MCTS100': 1417.7412854030074, 'MCTS400': 1554.7295558400303, 'random': 906.9768962560177}

{'AlphaViT_Large': 1811.0575888442245, 'AlphaViD_Large': 1586.1276376100066, 'AlphaVDA_Large': 1347.062295970004, 'AlphaViT_Small': 1979.8311680829643, 'AlphaViD_Small': 1817.0601725135705, 'AlphaVDA_Small': 1838.7307542445408, 'AlphaViT_Multi': 1092.8571884880998, 'AlphaViD_Multi': 1295.2032622785835, 'AlphaVDA_Multi': 1003.2966572962787, 'AlphaZero': 2019.77118730097, 'Minimax': 1364.5944266228614, 'MCTS100': 1409.3834732749365, 'MCTS400': 1543.2741817368526, 'random': 891.7500057361015}

{'AlphaViT_Large': 1814.7650623744003, 'AlphaViD_Large': 1588.0021233365694, 'AlphaVDA_Large': 1362.2237681654483, 'AlphaViT_Small': 1964.0524160420443, 'AlphaViD_Small': 1813.1585397649467, 'AlphaVDA_Small': 1842.1671338772117, 'AlphaViT_Multi': 1095.6525714692693, 'AlphaViD_Multi': 1288.4582237774005, 'AlphaVDA_Multi': 993.7871589603052, 'AlphaZero': 2025.7950837555761, 'Minimax': 1356.4531210768826, 'MCTS100': 1399.9699075338503, 'MCTS400': 1570.0047122027995, 'random': 885.5101776632903}

{'AlphaViT_Large': 1817.6422238143443, 'AlphaViD_Large': 1574.5669798065378, 'AlphaVDA_Large': 1360.0464103778409, 'AlphaViT_Small': 1961.120738664888, 'AlphaViD_Small': 1817.0781026322252, 'AlphaVDA_Small': 1841.187322884774, 'AlphaViT_Multi': 1091.1761330963654, 'AlphaViD_Multi': 1286.0569499563596, 'AlphaVDA_Multi': 992.7370049719881, 'AlphaZero': 2024.5598485579985, 'Minimax': 1373.344198512802, 'MCTS100': 1417.9062511348238, 'MCTS400': 1559.511971284202, 'random': 883.0658643048448}

{'AlphaViT_Large': 1805.1045119113796, 'AlphaViD_Large': 1573.9834040774053, 'AlphaVDA_Large': 1354.3522069236017, 'AlphaViT_Small': 1958.0871816726851, 'AlphaViD_Small': 1813.2117001817674, 'AlphaVDA_Small': 1856.1453593737624, 'AlphaViT_Multi': 1087.1029266894234, 'AlphaViD_Multi': 1298.9308293510987, 'AlphaVDA_Multi': 1006.8301330721874, 'AlphaZero': 2030.0687086220062, 'Minimax': 1372.2457425779176, 'MCTS100': 1388.6545091831204, 'MCTS400': 1558.5398893301644, 'random': 896.7428970334743}

