/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1832.5649934394457, 'AlphaViD_Large': 1736.7633846810593, 'AlphaVDA_Large': 1724.136339763205, 'AlphaViT_Small': 1209.2115022125, 'AlphaViD_Small': 1172.971520329097, 'AlphaVDA_Small': 1226.405503903587, 'AlphaViT_Multi': 1932.8553225851408, 'AlphaViD_Multi': 1695.4623799247072, 'AlphaVDA_Multi': 1659.9582908390382, 'AlphaZero': 2085.5741038546785, 'Minimax': 1046.4283453686949, 'MCTS100': 1375.145327692609, 'MCTS400': 1507.136619016884, 'random': 795.3863663893522}

{'AlphaViT_Large': 1832.8777745569025, 'AlphaViD_Large': 1739.8699484305318, 'AlphaVDA_Large': 1723.427605243968, 'AlphaViT_Small': 1234.1043117369256, 'AlphaViD_Small': 1187.7810719407096, 'AlphaVDA_Small': 1225.4906064254128, 'AlphaViT_Multi': 1942.015375175561, 'AlphaViD_Multi': 1697.1742946934762, 'AlphaVDA_Multi': 1655.9935283326326, 'AlphaZero': 2081.5864760040436, 'Minimax': 1031.3080747362872, 'MCTS100': 1330.8458054253874, 'MCTS400': 1522.5865189556223, 'random': 794.9386083425381}

{'AlphaViT_Large': 1832.967593978667, 'AlphaViD_Large': 1744.1323233041965, 'AlphaVDA_Large': 1728.2150337386627, 'AlphaViT_Small': 1233.2818452737883, 'AlphaViD_Small': 1177.4836158583903, 'AlphaVDA_Small': 1224.769267241579, 'AlphaViT_Multi': 1945.8211626196908, 'AlphaViD_Multi': 1704.708406483464, 'AlphaVDA_Multi': 1655.656904805009, 'AlphaZero': 2089.7015906803927, 'Minimax': 1032.6557931456296, 'MCTS100': 1322.1591995363794, 'MCTS400': 1521.938550087559, 'random': 786.5087132465899}

{'AlphaViT_Large': 1833.884488583543, 'AlphaViD_Large': 1744.7871821270808, 'AlphaVDA_Large': 1729.8949802724778, 'AlphaViT_Small': 1223.7992416594604, 'AlphaViD_Small': 1168.7724539691853, 'AlphaVDA_Small': 1231.5772938409339, 'AlphaViT_Multi': 1939.0542052396002, 'AlphaViD_Multi': 1704.8353262914798, 'AlphaVDA_Multi': 1670.7478804518944, 'AlphaZero': 2089.111386585146, 'Minimax': 1026.6754831766273, 'MCTS100': 1351.6094467621283, 'MCTS400': 1506.989589931443, 'random': 778.2610411089981}

{'AlphaViT_Large': 1816.7236980433559, 'AlphaViD_Large': 1752.7784422093719, 'AlphaVDA_Large': 1725.1118455036476, 'AlphaViT_Small': 1223.3133141583346, 'AlphaViD_Small': 1190.3440095150768, 'AlphaVDA_Small': 1212.348683686628, 'AlphaViT_Multi': 1951.5345673897339, 'AlphaViD_Multi': 1710.998512077065, 'AlphaVDA_Multi': 1675.7272213624472, 'AlphaZero': 2092.648272543499, 'Minimax': 1024.6704252129525, 'MCTS100': 1343.747791391422, 'MCTS400': 1501.9908592812822, 'random': 778.0623576251808}

