/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1651.8329172055164, 'AlphaViD_Large': 1501.890118181553, 'AlphaVDA_Large': 1262.829237647151, 'AlphaViT_Small': 1748.9161038798936, 'AlphaViD_Small': 1756.5185423148357, 'AlphaVDA_Small': 1747.1989070515167, 'AlphaViT_Multi': 1607.3212576363967, 'AlphaViD_Multi': 1391.4305797304728, 'AlphaVDA_Multi': 1215.276117871168, 'AlphaZero': 1788.9119316223098, 'Minimax': 1362.6756612623076, 'MCTS100': 1390.6771581659139, 'MCTS400': 1641.565567861732, 'random': 932.9558995692322}

{'AlphaViT_Large': 1655.2959603267573, 'AlphaViD_Large': 1486.764376609871, 'AlphaVDA_Large': 1274.9186345904018, 'AlphaViT_Small': 1759.112118159718, 'AlphaViD_Small': 1761.918176515922, 'AlphaVDA_Small': 1757.8190341388959, 'AlphaViT_Multi': 1595.7647968835463, 'AlphaViD_Multi': 1402.0379415118714, 'AlphaVDA_Multi': 1216.2037901787469, 'AlphaZero': 1784.6525312397553, 'Minimax': 1368.166934012763, 'MCTS100': 1372.7844063914736, 'MCTS400': 1637.6073223949138, 'random': 926.9539770453637}

{'AlphaViT_Large': 1647.4011761230956, 'AlphaViD_Large': 1499.0439981920001, 'AlphaVDA_Large': 1269.986771893055, 'AlphaViT_Small': 1760.898564897547, 'AlphaViD_Small': 1770.1049797352205, 'AlphaVDA_Small': 1763.6663627670744, 'AlphaViT_Multi': 1586.6113522590726, 'AlphaViD_Multi': 1395.4402324994173, 'AlphaVDA_Multi': 1220.7008634638585, 'AlphaZero': 1785.742812845703, 'Minimax': 1354.9885596704723, 'MCTS100': 1373.0755933119833, 'MCTS400': 1654.8657405749498, 'random': 917.4729917665506}

{'AlphaViT_Large': 1656.690956829356, 'AlphaViD_Large': 1501.7104539774507, 'AlphaVDA_Large': 1265.4798114385412, 'AlphaViT_Small': 1755.0841597269794, 'AlphaViD_Small': 1770.0299221257997, 'AlphaVDA_Small': 1757.705939119301, 'AlphaViT_Multi': 1601.0115037002142, 'AlphaViD_Multi': 1405.595935536417, 'AlphaVDA_Multi': 1212.5916403272308, 'AlphaZero': 1786.1636376402384, 'Minimax': 1351.166895995886, 'MCTS100': 1376.3218974610627, 'MCTS400': 1644.2515597076065, 'random': 916.1956864139158}

{'AlphaViT_Large': 1655.8210796058381, 'AlphaViD_Large': 1505.071249279219, 'AlphaVDA_Large': 1262.3924464145134, 'AlphaViT_Small': 1754.6215527883362, 'AlphaViD_Small': 1754.8154068350575, 'AlphaVDA_Small': 1755.9175112910768, 'AlphaViT_Multi': 1612.4564182932077, 'AlphaViD_Multi': 1403.3163409890458, 'AlphaVDA_Multi': 1214.1932831042268, 'AlphaZero': 1786.6930861483481, 'Minimax': 1365.4110611882427, 'MCTS100': 1371.425331780828, 'MCTS400': 1639.0273272650518, 'random': 918.8379050170082}

