/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1945.5204880138424, 'AlphaViD_Large': 1706.012513430293, 'AlphaVDA_Large': 1591.414832322349, 'AlphaViT_Small': 1527.4620489823235, 'AlphaViD_Small': 1507.260654279074, 'AlphaVDA_Small': 1001.4925063950444, 'AlphaViT_Multi': 2026.2384719751701, 'AlphaViD_Multi': 1552.6804278544391, 'AlphaVDA_Multi': 1509.4885863543934, 'AlphaZero': 2034.0613059744992, 'Minimax': 1481.7163570207063, 'MCTS100': 1189.4695196116754, 'MCTS400': 1184.2745905289908, 'random': 742.9076972571991}

{'AlphaViT_Large': 1937.45822163195, 'AlphaViD_Large': 1702.4007467921538, 'AlphaVDA_Large': 1592.68842182369, 'AlphaViT_Small': 1524.3744786975772, 'AlphaViD_Small': 1487.1004943484802, 'AlphaVDA_Small': 999.285440927984, 'AlphaViT_Multi': 2024.5866306382823, 'AlphaViD_Multi': 1568.4320434662818, 'AlphaVDA_Multi': 1525.5557602274093, 'AlphaZero': 2038.8497579103405, 'Minimax': 1466.1105340552012, 'MCTS100': 1226.832172648033, 'MCTS400': 1169.8011890891496, 'random': 736.524107743467}

{'AlphaViT_Large': 1937.8601362772113, 'AlphaViD_Large': 1698.5756142898147, 'AlphaVDA_Large': 1593.1396925546305, 'AlphaViT_Small': 1537.7728698402318, 'AlphaViD_Small': 1490.802317064932, 'AlphaVDA_Small': 989.756827954349, 'AlphaViT_Multi': 2008.1541211335202, 'AlphaViD_Multi': 1567.8830025248137, 'AlphaVDA_Multi': 1524.609392106973, 'AlphaZero': 2058.5686347730575, 'Minimax': 1468.2461710512916, 'MCTS100': 1237.1153740859943, 'MCTS400': 1157.1660713341444, 'random': 730.3497750090369}

{'AlphaViT_Large': 1938.3059094402618, 'AlphaViD_Large': 1702.8956314164343, 'AlphaVDA_Large': 1586.4542952041634, 'AlphaViT_Small': 1542.444511461737, 'AlphaViD_Small': 1502.815137007031, 'AlphaVDA_Small': 996.1858967618724, 'AlphaViT_Multi': 2023.4051299986907, 'AlphaViD_Multi': 1550.631326109421, 'AlphaVDA_Multi': 1532.5538337611433, 'AlphaZero': 2054.177896034976, 'Minimax': 1468.8093638599928, 'MCTS100': 1215.3485113401703, 'MCTS400': 1161.670859420644, 'random': 724.3016981834631}

{'AlphaViT_Large': 1938.994123743374, 'AlphaViD_Large': 1684.1158728542414, 'AlphaVDA_Large': 1588.4352530392007, 'AlphaViT_Small': 1553.4430933251078, 'AlphaViD_Small': 1513.6399745279596, 'AlphaVDA_Small': 1009.7234035541628, 'AlphaViT_Multi': 2014.7758690989933, 'AlphaViD_Multi': 1551.4977876185308, 'AlphaVDA_Multi': 1537.5479204433077, 'AlphaZero': 2072.8381955549753, 'Minimax': 1454.9394193479548, 'MCTS100': 1211.8761822919284, 'MCTS400': 1149.6359165619483, 'random': 718.5369880383146}

